,,,,,,,,recongnize reversal,,,,,,,,momentum,,,,,market timing,,volumn,,,condition:,"1) changing delta sign, 2) delta > 1"
Date,Open,High,Low,Close,Volume,Adj Close,Delta,Std year,Std 20 days,delta sign year,delta sign 20,trade high,trade low,crossday,interday,down/up trend,checking,trend top,trend bottom,breakthrough,,,avg volumn,,,,reversal
5/14/2015,77.05,77.9,77.05,77.7,2002000,75.008,0.6,0.761669216,0.580063517,0,1.034369482,77.7,77.05,UP,UP,DOWN,DOWN,77.7,77.05,,,,2336786.207,,,,
5/13/2015,77.8,78.3,77.05,77.1,2400600,74.429,-0.7,0.76103194,0.558875751,0,1.252514532,77.8,77.1,DOWN,DOWN,DOWN,DOWN,77.8,77.1,,,,2337182.375,,,,
5/12/2015,78.3,78.45,77.75,77.8,1873800,75.105,0.1,0.759803062,0.556132084,0,0,78.3,77.8,UP,DOWN,DOWN,,78.3,77.7,,,,2337071.648,,,,
5/11/2015,78.8,78.8,77.55,77.7,2893300,75.008,-0.8,0.769987761,0.567890835,1.038977553,1.40872145,78.8,77.7,DOWN,DOWN,DOWN,,78.5,77.7,,,,2350340.613,,,,
5/8/2015,78,78.8,78,78.5,1866900,75.78,0.15,0.770996165,0.558728585,0,0,78.5,78,UP,UP,DOWN,DOWN,78.5,78,,,,2348431.418,,,,
5/7/2015,79.65,80,78.1,78.35,2978700,75.636,-0.05,0.773688436,0.762073867,0,0,79.65,78.35,DOWN,DOWN,DOWN,DOWN,79.3,78.35,,,,2353764.368,,,,
5/6/2015,79.65,79.65,78.2,78.4,2350300,75.684,-0.2,0.774269143,0.775869631,0,0,79.65,78.4,DOWN,DOWN,DOWN,,79.3,78.4,,,,2352893.487,,,,
5/5/2015,79.5,79.9,78.5,78.6,1426500,75.877,-0.7,0.77412829,0.798337087,0,0,79.5,78.6,DOWN,DOWN,DOWN,,79.3,78.6,,,,2343888.506,,,,
5/4/2015,78.95,79.35,78.1,79.3,1709800,76.553,0.85,0.774318816,0.779068269,1.097739048,1.091046874,79.3,78.95,UP,UP,UP,UP,79.3,78.95,,,,2346709.962,,,,
5/1/2015,78.45,78.45,78.45,78.45,0,75.732,0,0.776939735,0.757745097,0,0,78.45,78.45,UP,UP,UP,UP,78.45,78.45,,,,2350401.533,,,,
4/30/2015,78.1,78.9,78.1,78.45,1993900,75.732,-0.3,0.776939735,0.757745097,0,0,78.45,78.1,DOWN,UP,DOWN,DOWN,78.45,78.1,,,,2350401.533,,,,
4/29/2015,78.5,79,78,78.75,1998200,76.022,0.3,0.77987408,0.777457902,0,0,78.75,78.5,UP,UP,UP,UP,78.75,78.5,,,,2357567.433,,,,
4/28/2015,77.7,78.55,77.6,78.45,2575500,75.732,-0.05,0.781523626,0.794764944,0,0,78.45,77.7,DOWN,UP,DOWN,DOWN,78.45,77.7,,,,2367116.475,,,,
4/27/2015,78.2,78.5,77.6,78.5,3693200,75.78,0.3,0.784233779,0.845650637,0,0,78.5,78.2,UP,UP,UP,UP,78.5,78.2,,,,2373629.119,,,,
4/24/2015,78.1,78.35,77.25,78.2,4886700,75.491,1,0.791077891,0.844860624,1.264098026,1.183627183,78.2,78.1,UP,UP,UP,UP,78.2,78.1,,,,2376283.525,,,,
