AM1937a,C-rel
AM1937b,C-rel
AM1938a,EIF4EBP1
AM1938b,EIF4EBP1
AM1939A,HIPK4
AM1939B,HIPK4
AM1940a,Glucagon
AM1940b,Glucagon
AM1941a,HLA-DRA
AM1941b,HLA-DRA
AM1942b,S100B
AM1943a,MAPK3
AM1943b,MAPK3
AM1944a,TLR3
AM1944b,TLR3
AM1945a,SYP
AM1945b,SYP
AM1946a,CD79A
AM1946b,CD79A
AM1947a,MYOG
AM1947b,MYOG
AM1948a,BCL6
AM1948b,BCL6
AM1949a,MME/CD10
AM1949b,MME/CD10
AM1950A,THOC1
AM1950b,THOC1
AM1951a,LGALS3
AM1951b,LGALS3
AM1952a,PDGFR
AM1952b,PDGFR
AM1954a,PDPK1
AM1954b,PDPK1
AM1955b,STC2
AM1956a,CNOT4
AM1956b,CNOT4
AM1957a,CD4
AM1957b,CD4
AM1958a,PGR/PR
AM1958b,PGR/PR
AM1959b,UCHL1
AM1960a,NCAM1
AM1960b,NCAM1
AM1962a,EIF4B
AM1962b,EIF4B
AM1963b,AGTR1
AM1964a,SOX9
AM1964b,SOX9
AM1965a,ACTA1
AM1965b,ACTA1
AM1967a,POU5F1
AM1968b,KEAP1
AM1969a,SNX6
AM1969B,SNX6
AM1970a,Dicer1
AM1971a,Kappa light chain
AM1973b,FSHB/FSH
AM1974A,CD7
AM1974B,CD7
AM1975a,MMP9
AM1975b,MMP9
AM1976b,PDK4
AM1977a,TSC1
AM1977b,TSC1
AM1978a,APCS
AM1978b,APCS
AM1979A,TNINI3
AM1980b,Mouse Bmi1
AM1982a,TLE1
AM1982b,TLE1
AM1983a,TNFSF4
AM1984a,THAP11
AM1984b,THAP11
AM1985a,INS
AM1985b,INS
AM1988b,NUAK2
AM1989a,CD19
AM1990a,MS4A1/CD20
AM1990b,MS4A1/CD20
AM1991a,HMGB1
AM1992a,LGR5/GPR49
AM1992b,LGR5/GPR49
AM1993a,T
AM1993b,T
AM1994a,ATP1A1
AM1995a,KCNJ3
AM1995b,KCNJ3
AM1996a,CD68
AM1997a,GBX2
AM1997b,GBX2
AM1998a,GJC2
AM1998b,GJC2
AM2000a,Cardiac FABP
AM2001a,Cortactin
AM2002a,RAT Camk2a
AM2003a,Mouse Irgm1
AM2003b,Mouse Irgm1
AM2005a,MBP
AM2006a,ESR1/ER
AM2006b,ESR1/ER
AM2007a,RPS6KA3
AM2008b,RPS6KA3
AM2009b,MUC1
AM2010a,ZWINT
AM2010b,ZWINT
AM2012a,SPN/CD43
AM2012b,SPN/CD43
AM2013a,ITGAX/CD11c
AM2013b,ITGAX/CD11c
AM2016a,LTB
AM2016b,LTB
AM2018A,AKT1S1
AM2018b,AKT1S1
AM2019a,NCOA4
AM2019b,NCOA4
AM2021a,CALCA/CT
AM2021b,CALCA/CT
AM2022a,ALPP
AM2022b,ALPP
AM2023a,HNMT
AM2023b,HNMT
AM2024a,UBL5
AM2024b,UBL5
AM2025a,GABARAP
AM2025b,GABARAP
AM2026b,RAB23
AM2027a,STK39
AM2027b,STK39
AM2029a,SWAP70
AM2029b,SWAP70
AM2030a,AHCY
AM2032a,Myoglobin
AM2032b,Myoglobin
AM2033A,FKRP
AM2033b,FKRP
AM2034a,MED14
AM2035a,PRL
AM2036a,SPRED1
AM2036b,SPRED1
AM2037a,PSMA5
AM2037b,PSMA5
AM2038a,PDK3
AM2039a,RUVBL1
AM2039b,RUVBL1
AM2040a,FUT4
AM2041a,CRP
AM2041b,CRP
AM2042a,B3GAT1
AM2043a,CD1A
AM2044a,FCGR3A
AM2045a,APOA1
AM2045b,APOA1
AM2046a,GAST
AM2048a,SOX2
AM2048b,SOX2
AM2049a,GAD2
AM2049b,GAD2
AM2051a,FGA
AM2051b,FGA
AM2052a,B2M
AM2052b,B2M
AM2053a,SERPINC1
AM2053b,SERPINC1
AM2055a,IGHG1
AM2056a,USP8 (C-term C1072)
AM2057a,MAP3K12
AM2057b,MAP3K12
AM2058a,DDR2
AM2059a,NOTCH3 (C-term Q2306)
AM2059b,NOTCH3 (C-term Q2306)
AM2060b,DYRK2
AM2061a,MX1
AM2061b,MX1
AM2062a,BTK
AM2063a,ANPEP
AM2063b,ANPEP
AM2064a,HGF
AM2064b,HGF
AM2066a,CYP1A2
AM2066b,CYP1A2
AM2067a,FASN
AM2067b,FASN
AM2069a,ALB
AM2069b,ALB
AM2070a,IGF2
AM2070b,IGF2
AM2071a,BLNK
AM2072a,CDKN1C
AM2072b,CDKN1C
AM2074a,CTNNB1
AM2074b,CTNNB1
AM2076a,FMR1
AM2077a,HMG2
AM2078a,GSTM1
AM2079a,ANPEP/CD13
AM2079b,ANPEP/CD13
AM2080a,ZAP70
AM2081a,EPO
AM2082a,VDR
AM2082b,VDR
AM2083a,ARSA
AM2083b,ARSA
AM2084a,DYT1
AM2086a,HPRT1
AM2087a,BAX
AM2087b,BAX
AM2088a,HKLK3 (C234)
AM2088b,HKLK3 (C234)
AM2089a,VTN
AM2091a,STRA8
AM2092a,CD55
AM2092b,CD55
AM2094a,IL10
AM2095a,CTGF
AM2095b,CTGF
AM2096a,CST3
AM2097A,TOP2A
AM2098a,EPCAM
AM2099a,TNFRSF8/CD30
AM2100a,AMBP
AM2102a,A2M
AM2103a,FOXA1 (Center D159)
AM2105a,CD106
AM2106a,CD40
AM2107a,MC1R
AM2109a,DISC1
AM2109b,DISC1
AM2110a,GATA4
AM2111a,ACE
AM2112a,ESR2
AM2112b,ESR2
AM2113a,CASP2
AM2116a,FOXP2
AM2117a,IL2
AM2118a,CAT
AM2119a,CCR7
AM2120a,FH
AM2121a,IL1B
AM2122a,HNF1A
AM2123a,JUP
AM2124A,VSIG8
AM2125a,OR5B12
AM2125b,OR5B12
AM2127a,SRD5A2L2
AM2128a,ADA
AM2128b,ADA
AM2131b,THBS1
AM2132a,TP63
AM2133a,MART-1/Melan-A
AM2134a,CDKN1A
AM2134b,CDKN1A
AM2135a,FGG
AM2136b,COL3A1
AM2137a,KIT
AM2137b,KIT
AM2138a,ITGB2
AM2138b,ITGB2
AM2139a,SELE
AM2141a,IGHD
AM2141b,IGHD
AM2142a,CD138
AM2143b,Rat PIp1
AM2145b,Androgen Receptor Protein
AM2146a,MVP
AM2147a,MyoD1
AM2149b,CD33
AM2150a,PODXL
AM2151a,MLH1
AM2152a,DRD2
AM2154a,SOCS3
AM2155a,CDK5RAP2
AM2156a,DDIT3
AM2157a,CD138
AM2157b,CD138
AM2158a,ABO
AM2159a,HAGH
AM2160a,LYPD6B
AM2162a,lgA
AM2164a,COMT
AM2166a,LOX
AM2166b,LOX
AM2167a,DRD4
AM2167b,DRD4
AM2172a,CYP2C9
AM2173a,AGT
AM2173b,AGT
AM2174a,CYP1A1
AM2174b,CYP1A1
AM2175a,SPARC
AM2178a,CYK18
AM2179a,EGFR
AM2179b,EGFR
AM2180a,GC
AM2181a,LEF1
AM2184a,ACHE
AM2185a,CTNNB1
AM2725A,KLF4
AM3111a,Gab1
AM6406a,PINK1
AM6406B,PINK1
AM7099a,PARK8 (LRRK2)
AM7099b,PARK8 (LRRK2)
AM7401A,CHK1
AM7579a,SOD2
AM7610a,EPHA5
AM7623b,EPHB2
AM7625a,EPHB4
AM7628b,EGFR
AM7645B,VGFR3
AM7679B,TYRO3
AM7718a,SRC
AM7936a,FGFR4
AM7936b,FGFR4
AM8109a,IKK beta
AM8109b,IKK beta
